Year,Month,Data
1970,1,85.280
1970,2,90.034
1970,3,90.427
1970,4,82.517
1970,5,77.750
1970,6,74.124
1970,7,79.821
1970,8,83.636
1970,9,86.663
1970,10,85.942
1970,11,90.288
1970,12,95.683
1971,1,99.816
1971,2,100.982
1971,3,104.958
1971,4,109.039
1971,5,104.780
1971,6,105.127
1971,7,101.057
1971,8,104.980
1971,9,104.513
1971,10,100.422
1971,11,100.443
1971,12,109.366
1972,1,111.616
1972,2,114.709
1972,3,115.656
1972,4,116.443
1972,5,118.736
1972,6,116.427
1972,7,116.981
1972,8,121.295
1972,9,120.989
1972,10,122.423
1972,11,128.315
1972,12,130.140
1973,1,128.200
1973,2,123.681
1973,3,123.781
1973,4,119.041
1973,5,117.105
1973,6,116.636
1973,7,121.380
1973,8,117.241
1973,9,122.246
1973,10,122.448
1973,11,108.868
1973,12,111.024
1974,1,110.227
1974,2,110.147
1974,3,107.892
1974,4,104.023
1974,5,100.879
1974,6,99.734
1974,7,92.335
1974,8,84.360
1974,9,74.644
1974,10,87.191
1974,11,82.931
1974,12,81.639
1975,1,92.023
1975,2,97.892
1975,3,100.376
1975,4,105.494
1975,5,110.520
1975,6,115.795
1975,7,108.338
1975,8,106.434
1975,9,103.114
1975,10,109.851
1975,11,112.948
1975,12,112.032
1976,1,125.671
1976,2,124.612
1976,3,128.811
1976,4,127.808
1976,5,126.387
1976,6,131.989
1976,7,131.356
1976,8,131.115
1976,9,134.504
1976,10,131.999
1976,11,131.460
1976,12,138.838
1977,1,132.274
1977,2,129.863
1977,3,128.497
1977,4,129.032
1977,5,126.502
1977,6,132.754
1977,7,130.706
1977,8,128.849
1977,9,129.049
1977,10,124.022
1977,11,127.944
1977,12,128.902
1978,1,121.501
1978,2,119.037
1978,3,122.538
1978,4,133.596
1978,5,134.824
1978,6,132.967
1978,7,140.720
1978,8,144.955
1978,9,144.491
1978,10,131.894
1978,11,134.726
1978,12,137.372
1979,1,143.461
1979,2,138.852
1979,3,147.131
1979,4,148.057
1979,5,144.842
1979,6,151.143
1979,7,153.169
1979,8,162.008
1979,9,162.704
1979,10,152.286
1979,11,159.525
1979,12,162.936
1980,1,173.064
1980,2,173.049
1980,3,156.225
1980,4,163.448
1980,5,171.860
1980,6,177.298
1980,7,189.636
1980,8,191.553
1980,9,197.188
1980,10,201.180
1980,11,222.613
1980,12,215.896
1981,1,206.863
1981,2,210.456
1981,3,218.873
1981,4,214.641
1981,5,215.190
1981,6,213.843
1981,7,214.283
1981,8,201.909
1981,9,191.961
1981,10,202.321
1981,11,210.670
1981,12,205.267
1982,1,202.588
1982,2,191.264
1982,3,190.266
1982,4,198.865
1982,5,192.085
1982,6,189.200
1982,7,185.834
1982,8,208.393
1982,9,210.991
1982,10,235.276
1982,11,244.778
1982,12,249.495
1983,1,258.773
1983,2,264.704
1983,3,274.483
1983,4,296.107
1983,5,293.531
1983,6,304.955
1983,7,295.958
1983,8,300.400
1983,9,304.548
1983,10,301.027
1983,11,307.377
1983,12,305.770
1984,1,304.064
1984,2,293.365
1984,3,298.445
1984,4,301.277
1984,5,284.599
1984,6,290.780
1984,7,287.173
1984,8,318.891
1984,9,318.967
1984,10,320.196
1984,11,316.611
1984,12,324.953
1985,1,350.270
1985,2,354.560
1985,3,354.795
1985,4,354.461
1985,5,374.941
1985,6,380.816
1985,7,380.260
1985,8,377.013
1985,9,365.221
1985,10,382.090
1985,11,408.298
1985,12,428.050
1986,1,430.440
1986,2,462.615
1986,3,488.424
1986,4,482.925
1986,5,508.617
1986,6,517.212
1986,7,488.283
1986,8,524.493
1986,9,481.133
1986,10,508.879
1986,11,521.247
1986,12,507.945
1987,1,576.344
1987,2,599.118
1987,3,616.404
1987,4,610.931
1987,5,616.228
1987,6,647.347
1987,7,680.140
1987,8,705.518
1987,9,690.051
1987,10,541.440
1987,11,496.820
1987,12,534.616
1988,1,557.103
1988,2,583.072
1988,3,565.059
1988,4,571.309
1988,5,576.251
1988,6,602.695
1988,7,600.410
1988,8,580.026
1988,9,604.738
1988,10,621.576
1988,11,612.718
1988,12,623.407
1989,1,669.058
1989,2,652.385
1989,3,667.604
1989,4,702.266
1989,5,730.679
1989,6,726.534
1989,7,792.134
1989,8,807.619
1989,9,804.342
1989,10,785.666
1989,11,801.689
1989,12,820.941
1990,1,765.826
1990,2,775.690
1990,3,796.245
1990,4,776.380
1990,5,852.081
1990,6,846.333
1990,7,843.619
1990,8,767.364
1990,9,730.020
1990,10,726.911
1990,11,773.899
1990,12,795.457
1991,1,830.099
1991,2,889.464
1991,3,911.003
1991,4,913.159
1991,5,952.553
1991,6,908.913
1991,7,951.277
1991,8,973.815
1991,9,957.518
1991,10,970.391
1991,11,931.292
1991,12,1037.800
1992,1,1018.461
1992,2,1031.650
1992,3,1011.586
1992,4,1041.338
1992,5,1046.443
1992,6,1030.875
1992,7,1072.988
1992,8,1051.028
1992,9,1063.379
1992,10,1067.052
1992,11,1103.386
1992,12,1116.927
1993,1,1126.211
1993,2,1141.561
1993,3,1165.647
1993,4,1137.472
1993,5,1167.900
1993,6,1171.320
1993,7,1166.609
1993,8,1210.873
1993,9,1201.587
1993,10,1226.443
1993,11,1214.738
1993,12,1229.425
1994,1,1271.222
1994,2,1236.718
1994,3,1182.801
1994,4,1197.969
1994,5,1217.629
1994,6,1187.782
1994,7,1226.786
1994,8,1277.083
1994,9,1245.854
1994,10,1273.843
1994,11,1227.446
1994,12,1245.659
1995,1,1277.963
1995,2,1327.767
1995,3,1366.946
1995,4,1407.198
1995,5,1463.440
1995,6,1497.432
1995,7,1547.091
1995,8,1550.981
1995,9,1616.436
1995,10,1610.658
1995,11,1681.363
1995,12,1713.749
1996,1,1772.079
1996,2,1788.509
1996,3,1805.724
1996,4,1832.347
1996,5,1879.602
1996,6,1886.773
1996,7,1803.415
1996,8,1841.456
1996,9,1945.102
1996,10,1998.750
1996,11,2149.829
1996,12,2107.231
1997,1,2238.881
1997,2,2256.428
1997,3,2163.715
1997,4,2292.885
1997,5,2432.485
1997,6,2541.465
1997,7,2743.683
1997,8,2589.977
1997,9,2731.821
1997,10,2640.585
1997,11,2762.825
1997,12,2810.273
1998,1,2841.357
1998,2,3046.290
1998,3,3202.286
1998,4,3234.503
1998,5,3178.909
1998,6,3308.033
1998,7,3272.807
1998,8,2799.633
1998,9,2978.980
1998,10,3221.295
1998,11,3416.531
1998,12,3613.409
1999,1,3764.508
1999,2,3647.511
1999,3,3793.443
1999,4,3940.345
1999,5,3847.300
1999,6,4060.816
1999,7,3934.018
1999,8,3914.555
1999,9,3807.242
1999,10,4048.167
1999,11,4130.458
1999,12,4373.726
2000,1,4153.979
2000,2,4075.346
2000,3,4474.033
2000,4,4339.428
2000,5,4250.396
2000,6,4355.181
2000,7,4287.092
